\begin{tabular}{llrrrrlr}
\toprule
 Algorithm   & Test Case   &   Variables &   Clauses &   Time (s) &   Memory (KB) & Result   &   ratio \\
\midrule
 DPLL        & 3-sat:100   &           3 &       100 &   0.000233 &         53.34 & False    &   33.33 \\
 DP          & 3-sat:100   &           3 &       100 &   0.004172 &         25.91 & False    &   33.33 \\
 RES         & 3-sat:100   &           3 &       100 &   0.028285 &         32.34 & False    &   33.33 \\
 DPLL        & 3-sat:125   &           3 &       125 &   0.000278 &         68.44 & False    &   41.67 \\
 DP          & 3-sat:125   &           3 &       125 &   0.007940 &         31.52 & False    &   41.67 \\
 RES         & 3-sat:125   &           3 &       125 &   0.040479 &         37.99 & False    &   41.67 \\
 DPLL        & 3-sat:150   &           3 &       150 &   0.000380 &         79.48 & False    &   50.00 \\
 DP          & 3-sat:150   &           3 &       150 &   0.010899 &         37.36 & False    &   50.00 \\
 RES         & 3-sat:150   &           3 &       150 &   0.061149 &         43.62 & False    &   50.00 \\
 DPLL        & 3-sat:175   &           3 &       175 &   0.000401 &         88.30 & False    &   58.33 \\
 DP          & 3-sat:175   &           3 &       175 &   0.013049 &         43.20 & False    &   58.33 \\
 RES         & 3-sat:175   &           3 &       175 &   0.078835 &         49.30 & False    &   58.33 \\
 DPLL        & 3-sat:200   &           3 &       200 &   0.000444 &        117.50 & False    &   66.67 \\
 DP          & 3-sat:200   &           3 &       200 &   0.014920 &         48.53 & False    &   66.67 \\
 RES         & 3-sat:200   &           3 &       200 &   0.096508 &         55.09 & False    &   66.67 \\
 DPLL        & 3-sat:225   &           3 &       225 &   0.000532 &        122.64 & False    &   75.00 \\
 DP          & 3-sat:225   &           3 &       225 &   0.020919 &         54.24 & False    &   75.00 \\
 RES         & 3-sat:225   &           3 &       225 &   0.120317 &         60.77 & False    &   75.00 \\
 DPLL        & 3-sat:250   &           3 &       250 &   0.000581 &        134.12 & False    &   83.33 \\
 DP          & 3-sat:250   &           3 &       250 &   0.025266 &         60.11 & False    &   83.33 \\
 RES         & 3-sat:250   &           3 &       250 &   0.151438 &         66.55 & False    &   83.33 \\
 DPLL        & 3-sat:275   &           3 &       275 &   0.000652 &        150.08 & False    &   91.67 \\
 DP          & 3-sat:275   &           3 &       275 &   0.028949 &         65.70 & False    &   91.67 \\
 RES         & 3-sat:275   &           3 &       275 &   0.177364 &         72.02 & False    &   91.67 \\
 DPLL        & 3-sat:300   &           3 &       300 &   0.000672 &        173.95 & False    &  100.00 \\
 DP          & 3-sat:300   &           3 &       300 &   0.036399 &         71.34 & False    &  100.00 \\
 RES         & 3-sat:300   &           3 &       300 &   0.206209 &         77.84 & False    &  100.00 \\
 DPLL        & 3-sat:325   &           3 &       325 &   0.000760 &        171.78 & False    &  108.33 \\
 DP          & 3-sat:325   &           3 &       325 &   0.045298 &         77.09 & False    &  108.33 \\
 RES         & 3-sat:325   &           3 &       325 &   0.277736 &         83.30 & False    &  108.33 \\
 DPLL        & 3-sat:350   &           3 &       350 &   0.000931 &        204.52 & False    &  116.67 \\
 DP          & 3-sat:350   &           3 &       350 &   0.051447 &         82.64 & False    &  116.67 \\
 RES         & 3-sat:350   &           3 &       350 &   0.285953 &         89.21 & False    &  116.67 \\
 DPLL        & 3-sat:375   &           3 &       375 &   0.000927 &        210.21 & False    &  125.00 \\
 DP          & 3-sat:375   &           3 &       375 &   0.058021 &         88.60 & False    &  125.00 \\
